=== Bitacora de eventos ===
[Mon May 18 19:07:22 2026] PID=49441 | ASIGNACION | espacio=0
[Mon May 18 19:07:22 2026] PID=49441 | ASIGNACION | espacio=1
[Mon May 18 19:07:22 2026] PID=49441 | ASIGNACION | espacio=2
[Mon May 18 19:07:22 2026] PID=49441 | ASIGNACION | espacio=3
[Mon May 18 19:07:22 2026] PID=49441 | ASIGNACION | espacio=4
[Mon May 18 19:07:22 2026] PID=49441 | ASIGNACION | espacio=5
[Mon May 18 19:07:22 2026] PID=49441 | ASIGNACION | espacio=6
[Mon May 18 19:07:42 2026] PID=49542 | ASIGNACION | espacio=7
[Mon May 18 19:07:42 2026] PID=49542 | ASIGNACION | espacio=8
[Mon May 18 19:08:02 2026] PID=49598 | ASIGNACION | espacio=9
[Mon May 18 19:08:02 2026] PID=49598 | ASIGNACION | espacio=10
[Mon May 18 19:08:02 2026] PID=49598 | ASIGNACION | espacio=11
[Mon May 18 19:08:02 2026] PID=49598 | ASIGNACION | espacio=12
[Mon May 18 19:08:02 2026] PID=49598 | ASIGNACION | espacio=13
[Mon May 18 19:08:02 2026] PID=49598 | ASIGNACION | espacio=14
[Mon May 18 19:08:03 2026] PID=49441 | DESASIGNACION | espacio=0
[Mon May 18 19:08:03 2026] PID=49441 | DESASIGNACION | espacio=1
[Mon May 18 19:08:03 2026] PID=49441 | DESASIGNACION | espacio=2
[Mon May 18 19:08:03 2026] PID=49441 | DESASIGNACION | espacio=3
[Mon May 18 19:08:03 2026] PID=49441 | DESASIGNACION | espacio=4
[Mon May 18 19:08:03 2026] PID=49441 | DESASIGNACION | espacio=5
[Mon May 18 19:08:03 2026] PID=49441 | DESASIGNACION | espacio=6
[Mon May 18 19:08:13 2026] PID=49542 | DESASIGNACION | espacio=7
[Mon May 18 19:08:13 2026] PID=49542 | DESASIGNACION | espacio=8
[Mon May 18 19:08:15 2026] PID=49675 | ASIGNACION | espacio=0
[Mon May 18 19:08:15 2026] PID=49675 | ASIGNACION | espacio=1
[Mon May 18 19:08:15 2026] PID=49675 | ASIGNACION | espacio=2
[Mon May 18 19:08:15 2026] PID=49675 | ASIGNACION | espacio=3
[Mon May 18 19:08:15 2026] PID=49675 | ASIGNACION | espacio=4
[Mon May 18 19:08:27 2026] PID=49716 | ASIGNACION | espacio=5
[Mon May 18 19:08:27 2026] PID=49716 | ASIGNACION | espacio=6
[Mon May 18 19:08:27 2026] PID=49716 | ASIGNACION | espacio=7
[Mon May 18 19:08:43 2026] PID=49750 | ASIGNACION | espacio=8
[Mon May 18 19:08:43 2026] PID=49750 | ASIGNACION | espacio=15
[Mon May 18 19:08:43 2026] PID=49750 | ASIGNACION | espacio=16
[Mon May 18 19:08:55 2026] PID=49785 | ASIGNACION | espacio=17
[Mon May 18 19:08:55 2026] PID=49785 | ASIGNACION | espacio=18
[Mon May 18 19:08:55 2026] PID=49785 | ASIGNACION | espacio=19
[Mon May 18 19:08:55 2026] PID=49785 | ASIGNACION | espacio=20
[Mon May 18 19:08:55 2026] PID=49785 | ASIGNACION | espacio=21
[Mon May 18 19:08:55 2026] PID=49785 | ASIGNACION | espacio=22
[Mon May 18 19:08:55 2026] PID=49785 | ASIGNACION | espacio=23
[Mon May 18 19:08:55 2026] PID=49785 | ASIGNACION | espacio=24
[Mon May 18 19:08:55 2026] PID=49785 | ASIGNACION | espacio=25
[Mon May 18 19:08:55 2026] PID=49785 | ASIGNACION | espacio=26
[Mon May 18 19:08:59 2026] PID=49598 | DESASIGNACION | espacio=9
[Mon May 18 19:08:59 2026] PID=49598 | DESASIGNACION | espacio=10
[Mon May 18 19:08:59 2026] PID=49598 | DESASIGNACION | espacio=11
[Mon May 18 19:08:59 2026] PID=49598 | DESASIGNACION | espacio=12
[Mon May 18 19:08:59 2026] PID=49598 | DESASIGNACION | espacio=13
[Mon May 18 19:08:59 2026] PID=49598 | DESASIGNACION | espacio=14
[Mon May 18 19:08:59 2026] PID=49675 | DESASIGNACION | espacio=0
[Mon May 18 19:08:59 2026] PID=49675 | DESASIGNACION | espacio=1
[Mon May 18 19:08:59 2026] PID=49675 | DESASIGNACION | espacio=2
[Mon May 18 19:08:59 2026] PID=49675 | DESASIGNACION | espacio=3
[Mon May 18 19:08:59 2026] PID=49675 | DESASIGNACION | espacio=4
[Mon May 18 19:09:09 2026] PID=49824 | ASIGNACION | espacio=0
[Mon May 18 19:09:12 2026] PID=49716 | DESASIGNACION | espacio=5
[Mon May 18 19:09:12 2026] PID=49716 | DESASIGNACION | espacio=6
[Mon May 18 19:09:12 2026] PID=49716 | DESASIGNACION | espacio=7
[Mon May 18 19:09:21 2026] PID=49750 | DESASIGNACION | espacio=8
[Mon May 18 19:09:21 2026] PID=49750 | DESASIGNACION | espacio=15
[Mon May 18 19:09:21 2026] PID=49750 | DESASIGNACION | espacio=16
