[Fri May 15 21:23:37 2026] PID=9528 | ASIGNACION | espacio=0
[Fri May 15 21:23:37 2026] PID=9528 | ASIGNACION | espacio=1
[Fri May 15 21:23:37 2026] PID=9528 | ASIGNACION | espacio=2
[Fri May 15 21:23:37 2026] PID=9528 | ASIGNACION | espacio=3
[Fri May 15 21:23:37 2026] PID=9528 | ASIGNACION | espacio=4
[Fri May 15 21:23:37 2026] PID=9528 | ASIGNACION | espacio=5
[Fri May 15 21:23:37 2026] PID=9528 | ASIGNACION | espacio=6
[Fri May 15 21:24:07 2026] PID=9528 | DESASIGNACION | espacio=0
[Fri May 15 21:24:07 2026] PID=9528 | DESASIGNACION | espacio=1
[Fri May 15 21:24:07 2026] PID=9528 | DESASIGNACION | espacio=2
[Fri May 15 21:24:07 2026] PID=9528 | DESASIGNACION | espacio=3
[Fri May 15 21:24:07 2026] PID=9528 | DESASIGNACION | espacio=4
[Fri May 15 21:24:07 2026] PID=9528 | DESASIGNACION | espacio=5
[Fri May 15 21:24:07 2026] PID=9528 | DESASIGNACION | espacio=6
[Fri May 15 21:24:08 2026] PID=9528 | ASIGNACION | espacio=0
[Fri May 15 21:24:08 2026] PID=9528 | ASIGNACION | espacio=1
[Fri May 15 21:24:08 2026] PID=9528 | ASIGNACION | espacio=2
[Fri May 15 21:24:50 2026] PID=9528 | DESASIGNACION | espacio=0
[Fri May 15 21:24:50 2026] PID=9528 | DESASIGNACION | espacio=1
[Fri May 15 21:24:50 2026] PID=9528 | DESASIGNACION | espacio=2
[Fri May 15 21:24:51 2026] PID=9528 | ASIGNACION | espacio=0
[Fri May 15 21:24:51 2026] PID=9528 | ASIGNACION | espacio=1
[Fri May 15 21:24:51 2026] PID=9528 | ASIGNACION | espacio=2
[Fri May 15 21:24:51 2026] PID=9528 | ASIGNACION | espacio=3
[Fri May 15 21:24:51 2026] PID=9528 | ASIGNACION | espacio=4
[Fri May 15 21:24:51 2026] PID=9528 | ASIGNACION | espacio=5
[Fri May 15 21:24:51 2026] PID=9528 | ASIGNACION | espacio=6
